ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,spk_delta,accum_bars,exit,result_r,taker_ratio
1771659480000,1771659420000,Long,Asia,67826.5,67730.772,68017.956,1.298079593093284,2.8690476857951834,-13.394999999999996,14,TARGET,2.0,1.719568
1771663500000,1771663380000,Short,London,67945.6,68037.08615999999,67762.62768000003,10.0,2.0181757257048973,29.024,26,STOP,-1.0,0.418622
1771672200000,1771672080000,Short,London,68215.0,68298.79535999999,68047.40928000002,10.0,4.0937590558879755,12.52000000000001,22,TARGET,2.0,1.485509
1771677240000,1771677000000,Long,London,67923.8,67832.89024,68105.61952000002,-1.29409682980153,3.038257591770968,-96.202,21,TARGET,2.0,0.923368
1771683300000,1771683240000,Short,LondonNyOverlap,68194.2,68297.094,67988.412,10.0,2.2054487675169248,40.50399999999999,22,STOP,-1.0,2.203425
1771708140000,1771707540000,Long,NewYork,68303.1,68059.90848,68789.48304000002,0.6910689565621979,14.94184797558388,-228.4240000000001,19,STOP,-1.0,0.484624
1771713960000,1771713720000,Long,Asia,68119.1,68034.92847999999,68287.44304000004,-1.160001880490122,2.755853154391824,-70.18799999999999,13,STOP,-1.0,0.699044
1771718520000,1771718460000,Long,Asia,67975.5,67841.48336,68243.53328,-0.514451513133522,3.019796249626244,-64.82099999999998,10,STOP,-1.0,1.018542
1771725840000,1771725780000,Short,Asia,68105.3,68222.53439999999,67870.83120000003,8.964482617954772,1.9965310978777933,50.062,36,TARGET,2.0,1.232082
1771728120000,1771727940000,Long,Asia,67963.8,67897.33864,68096.72272,-0.6506919893964244,1.515154047521054,-15.426000000000002,10,STOP,-1.0,2.24056
1771734420000,1771734300000,Long,Asia,67982.4,67880.55208,68186.09584,-0.17851026634816064,1.5653857732533938,-25.728,17,STOP,-1.0,0.458629
1771736760000,1771736640000,Long,Asia,67969.6,67878.6536,68151.4928,-1.9190676954403636,1.978124323885764,-8.381,11,STOP,-1.0,0.492489
1771739760000,1771739220000,Long,Asia,67892.9,67812.90624,68052.88751999999,-7.569949146241673,1.532151648963462,-18.899,20,TARGET,2.0,1.417693
1771748160000,1771748040000,Long,London,67969.9,67889.94456,68129.81087999998,-2.555246117003805,1.638715679372423,-38.076,18,STOP,-1.0,2.134999
1771750920000,1771750740000,Long,London,67948.1,67853.6736,68136.95280000003,-5.4650238937071185,2.1269075085150577,-84.605,22,TARGET,2.0,0.890968
1771753260000,1771752840000,Long,London,68020.8,67926.31543999999,68209.76912000003,0.8749042201949356,2.5697776340535614,-67.89999999999999,11,TARGET,2.0,0.722493
1771757160000,1771756740000,Long,London,68076.9,67976.67512,68277.34975999998,3.849131397693607,3.3099701936075716,-91.68,13,STOP,-1.0,3.025238
1771765680000,1771765380000,Short,LondonNyOverlap,67921.0,68038.78751999998,67685.42496000003,-0.1527234789900532,2.3453662881231687,127.14600000000002,21,TARGET,2.0,0.482958
1771769280000,1771769040000,Long,LondonNyOverlap,67580.1,67434.0096,67872.28080000001,-10.0,2.96591276458672,-205.53300000000002,28,STOP,-1.0,1.317942
1771771860000,1771771380000,Long,LondonNyOverlap,67479.9,67277.53487999999,67884.63024,-8.854111566966354,4.887233927640765,-169.67800000000005,10,STOP,-1.0,1.325938
1771781400000,1771781340000,Long,NewYork,67491.7,67409.72903999999,67655.64192000001,-10.0,4.1230133359389844,-134.763,14,STOP,-1.0,0.477109
1771786740000,1771786380000,Short,NewYork,67392.3,67461.52608,67253.84784000002,-10.0,2.766612505325315,78.261,28,STOP,-1.0,0.833486
1771791600000,1771791060000,Long,NewYork,67413.9,67293.22232,67655.25535999998,-10.0,1.9236345429254502,-34.668,43,TIMEOUT,0.0,2.870554
1771793940000,1771793580000,Long,NewYork,67374.9,67290.1248,67544.45039999997,-10.0,1.9007114962820308,-1.142000000000003,12,TARGET,2.0,3.123567
1771798500000,1771798140000,Long,Asia,67509.3,67416.92327999999,67694.05344000003,-8.164285433800245,2.655122899996084,-67.213,11,TARGET,2.0,0.284746
1771801440000,1771801320000,Long,Asia,67631.1,67531.33167999999,67830.63664000004,-4.762453526695783,1.500643630350034,-37.059999999999995,12,STOP,-1.0,0.714808
1771817520000,1771817400000,Short,Asia,64755.1,64919.49407999999,64426.31184000002,-7.2012040911990445,1.8299671402422606,140.805,12,STOP,-1.0,1.014709
1771840080000,1771839960000,Short,London,66251.0,66435.70608,65881.58784,5.393170415498436,3.0249662994315996,245.49900000000002,11,STOP,-1.0,0.717444
1771845720000,1771845360000,Short,London,66314.3,66475.13759999999,65992.62480000003,10.0,2.324010284354659,12.74799999999999,29,TARGET,2.0,0.95536
1771857300000,1771857240000,Long,LondonNyOverlap,66019.5,65835.58936,66387.32128,5.460293018433525,5.984275814525794,-45.50400000000002,11,STOP,-1.0,0.626343
1771886460000,1771886400000,Long,Asia,64849.1,64687.00896,65173.28208,-10.0,1.670715810817756,-64.17200000000001,28,STOP,-1.0,0.533899
1771891080000,1771890660000,Long,Asia,64600.1,64480.17456,64839.95088,-8.304156419974346,2.4070910515679933,23.093999999999994,13,TARGET,2.0,1.511981
1771926000000,1771925640000,Long,London,63165.4,62995.36336,63505.47328,-10.0,1.5688318989720884,-31.051000000000002,12,TIMEOUT,0.0,1.289717
1771932360000,1771932060000,Long,London,63168.9,63087.4896,63331.7208,-10.0,1.689535923188993,-47.00399999999999,20,STOP,-1.0,1.001696
1771936140000,1771936080000,Short,London,63289.1,63347.33735999999,63172.625280000015,-6.064823251728643,1.7488758529206279,-60.187,10,TARGET,2.0,1.041287
1771939980000,1771939920000,Long,LondonNyOverlap,62829.3,62358.5732,63770.75360000001,-7.893021947622398,10.872918009656262,-702.5819999999999,11,TARGET,2.0,1.500803
1771943700000,1771943460000,Long,LondonNyOverlap,62935.3,62774.74,63256.42000000001,-9.9132940359726,2.1329686509371184,-57.182000000000016,10,TARGET,2.0,1.02727
1771958640000,1771958460000,Short,NewYork,64339.7,64529.98271999999,63959.134560000006,10.0,2.5447950979123335,96.118,18,STOP,-1.0,2.068323
1771974720000,1771974300000,Long,Asia,63997.5,63795.32288,64401.85424,3.962491249857269,7.089455151692967,-108.274,21,TARGET,2.0,0.697866
1771978740000,1771978140000,Long,Asia,64007.7,63909.53144,64204.03711999999,-2.512690620458841,2.1401654637915546,-52.16,23,TARGET,2.0,0.762377
1771992660000,1771992060000,Long,Asia,65478.0,65201.69688,66030.60624,-6.471025294427963,1.8575777182029023,-72.11599999999999,13,STOP,-1.0,0.932419
1772003280000,1772003220000,Long,Asia,64846.7,64683.711599999995,65172.6768,-10.0,2.875534493181226,-112.938,14,TARGET,2.0,0.730453
1772017440000,1772017380000,Long,London,65316.3,65230.7736,65487.35280000001,-3.1090766281485664,1.7187385711226932,-34.873,44,STOP,-1.0,0.697132
1772021400000,1772021160000,Long,London,65463.3,65227.87592,65934.14816000001,-4.925527046735416,1.9559003939314488,-36.233999999999995,25,TARGET,2.0,1.479138
1772026980000,1772026920000,Short,LondonNyOverlap,66262.5,66438.80855999999,65909.88288000002,10.0,6.264432179552148,1156.951,11,STOP,-1.0,2.198242
1772091300000,1772091240000,Long,Asia,68102.2,68005.45207999999,68295.69584000001,-4.800015429901037,3.087731055575187,-44.572,13,STOP,-1.0,0.781367
1772093760000,1772093700000,Short,London,68012.0,68145.07248,67745.85504,-2.2768402179160536,3.169624038691009,108.03800000000001,12,STOP,-1.0,2.374469
1772100720000,1772100600000,Short,London,68482.2,68744.65176,67957.29648,10.0,1.714081256111418,79.44499999999996,16,TARGET,2.0,0.663924
