id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
88180,1779920400000,OffHours,74459.8,74494.6,74444.4,74478.5,37.003,2.957,,,,0.1196,,,,,,,,,75265.2,,96.1757,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:20:00
88181,1779920460000,OffHours,74478.5,74528.4,74478.4,74523.3,107.327,51.573,,,,0.352,,,,,,,,,75264.6,,92.8774,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:21:00
88182,1779920520000,OffHours,74523.3,74549.2,74515.1,74520.8,112.433,45.313,,,,0.3818,,,,,,,,,75264,,88.6791,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:22:00
88183,1779920580000,OffHours,74520.9,74532.2,74501.9,74505.4,45.207,-10.839,,,,0.1586,,,,,,,,,75263.8,,84.5091,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:23:00
88184,1779920640000,OffHours,74505.4,74524.8,74484.7,74505.7,130.227,27.721,,,,0.462,,,,,,,,,75263.1,,81.3371,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:24:00
32105,1779920700000,OffHours,74505.8,74615.1,74478.1,74563.6,369.166,94.136,,,,0.5302,,,,,,,,,75262.4,,161.128,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:25:00
88185,1779920700000,OffHours,74505.8,74519,74478.1,74514.1,81.811,-17.811,,,,0.2969,,,,,,,,,75262.6,,78.4487,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:25:00
88186,1779920760000,OffHours,74514.1,74539.8,74512.4,74529.5,76.627,54.647,,,,0.2857,,,,,,,,,75262.2,,74.8024,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:26:00
88187,1779920820000,OffHours,74529.6,74584.7,74529.5,74563.5,65.526,36.944,,,,0.2521,,,,,,,,,75261.9,,73.4022,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:27:00
88188,1779920880000,OffHours,74563.4,74598.1,74563.4,74597.1,59.626,19.972,,,,0.2383,,,,,,,,,75261.6,,70.6377,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:28:00
88189,1779920940000,OffHours,74597.1,74615.1,74563.6,74563.6,85.576,0.384,,,,0.3544,,,,,,,,,75261.1,,69.2708,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:29:00
32106,1779921000000,OffHours,74563.6,74597.3,74445,74573.5,347.198,-8.218,,,,0.5054,,,,,,,,,75260.6,,160.497,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:30:00
88190,1779921000000,OffHours,74563.6,74563.7,74445,74478.6,146.012,-79.356,,,,0.6381,,,,,,,,,75260.3,,72.8014,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:30:00
88191,1779921060000,OffHours,74478.7,74521.1,74478.7,74519.2,47.033,30.019,,,,0.2181,,,,,,,,,75260.1,,70.637,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:31:00
88192,1779921120000,OffHours,74519.2,74575.1,74510,74575.1,60.679,35.131,,,,0.2894,,,,,,,,,75259.8,,70.2415,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:32:00
88193,1779921180000,OffHours,74575.1,74597.3,74538.2,74544.6,59.331,-4.827,,,,0.3086,,,,,,,,,75259.5,,69.4457,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:33:00
88194,1779921240000,OffHours,74544.7,74578.6,74544.6,74573.5,34.143,10.815,,,,0.18,,,,,,,,,75259.3,,66.9139,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:34:00
32107,1779921300000,OffHours,74573.5,74603,74541.6,74595.4,164.631,25.763,,,,0.2439,,,,,,,,,75259.8,,153.419,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:35:00
88195,1779921300000,OffHours,74573.5,74603,74566.9,74599.9,37.824,21.26,,,,0.2033,,,,,,,,,75259.1,,64.7129,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:35:00
88196,1779921360000,OffHours,74599.9,74599.9,74550.6,74567.2,41.154,6.636,,,,0.2284,,,,,,,,,75258.9,,63.612,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:36:00
