id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
141224,1778746440000,London,670.76,670.99,670.75,670.99,433.39,304.83,,,,1.5637,,,,,,,,,671.152,,0.430845,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:14:00
42721,1778746500000,London,670.99,671.22,670.79,671.07,653.63,43.35,,,,0.4405,,,,,,,,,671.142,,1.05166,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:15:00
141225,1778746500000,London,670.99,671.17,670.79,670.79,89.73,-29.73,,,,0.3253,,,,,,,,,671.151,,0.427214,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:15:00
141226,1778746560000,London,670.8,670.97,670.79,670.97,137.18,70.22,,,,0.4999,,,,,,,,,671.151,,0.409555,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:16:00
141227,1778746620000,London,670.97,671.21,670.97,670.99,188.86,-34.52,,,,0.6941,,,,,,,,,671.151,,0.397444,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:17:00
141228,1778746680000,London,670.98,671.13,670.94,670.99,73.56,-1.3,,,,0.2699,,,,,,,,,671.151,,0.382627,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:18:00
141229,1778746740000,London,671,671.22,670.99,671.07,164.3,38.68,,,,0.5991,,,,,,,,,671.151,,0.371725,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:19:00
42722,1778746800000,London,671.07,671.17,670.46,670.78,1092.9,424.96,,,,0.769,,,,,,,,,671.14,,1.02725,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:20:00
141230,1778746800000,London,671.07,671.13,670.85,670.89,85.84,-14.32,,,,0.3182,,,,,,,,,671.151,,0.365173,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:20:00
141231,1778746860000,London,670.89,671.17,670.59,670.59,753.03,461.63,,,,2.5893,,,,,,,,,671.149,,0.380518,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:21:00
141232,1778746920000,London,670.6,670.77,670.5,670.59,106.63,-21.23,,,,0.3744,,,,,,,,,671.149,,0.372624,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:22:00
141233,1778746980000,London,670.59,670.63,670.49,670.58,47.18,-0.64,,,,0.1677,,,,,,,,,671.149,,0.356008,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:23:00
141234,1778747040000,London,670.58,670.78,670.46,670.78,100.22,-0.48,,,,0.3607,,,,,,,,,671.149,,0.353436,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:24:00
42723,1778747100000,London,670.79,671.6,670.58,671.33,695.27,-179.77,,,,0.5055,,,,,,,,,671.14,,1.02673,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:25:00
141235,1778747100000,London,670.79,671.05,670.78,670.97,91.47,-31.77,,,,0.3305,,,,,,,,,671.149,,0.347476,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:25:00
141236,1778747160000,London,670.96,670.96,670.87,670.89,61.24,-20.62,,,,0.2241,,,,,,,,,671.148,,0.329799,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:26:00
141237,1778747220000,London,670.88,670.95,670.58,670.94,85.97,-54.89,,,,0.3331,,,,,,,,,671.148,,0.332671,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:27:00
141238,1778747280000,London,670.95,671.44,670.95,671.37,138.08,106.44,,,,0.5467,,,,,,,,,671.148,,0.344623,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:28:00
141239,1778747340000,London,671.37,671.6,671.27,671.33,318.51,-178.93,,,,1.2456,,,,,,,,,671.149,,0.343578,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:29:00
42724,1778747400000,London,671.33,672.69,671.32,672.68,2522.39,492.47,,,,1.9004,,,,,,,,,671.155,,1.05125,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:30:00
141240,1778747400000,London,671.33,671.85,671.32,671.85,280.64,143.04,,,,1.113,,,,,,,,,671.15,,0.356894,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:30:00
141241,1778747460000,London,671.84,672.18,671.77,671.98,1127.17,-208.83,,,,3.9848,,,,,,,,,671.155,,0.360687,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:31:00
141242,1778747520000,London,671.98,672.18,671.88,672.15,323.86,13.42,,,,1.1467,,,,,,,,,671.156,,0.356353,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:32:00
141243,1778747580000,London,672.15,672.57,672.14,672.5,316.97,161.17,,,,1.1075,,,,,,,,,671.159,,0.361613,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:33:00
141244,1778747640000,London,672.5,672.69,672.49,672.68,473.75,383.67,,,,1.5973,,,,,,,,,671.162,,0.350069,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:34:00
42725,1778747700000,London,672.68,673.78,672.42,673.69,3298.34,1530.26,,,,2.3709,,,,,,,,,671.193,,1.07331,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:35:00
141245,1778747700000,London,672.68,672.76,672.48,672.62,376.32,58.2,,,,1.2496,,,,,,,,,671.165,,0.345064,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:35:00
141246,1778747760000,London,672.62,673.53,672.42,673.21,1734.94,1205.82,,,,5.0669,,,,,,,,,671.183,,0.399703,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:36:00
141247,1778747820000,London,673.21,673.46,673.1,673.41,428.96,94.38,,,,1.2584,,,,,,,,,671.188,,0.396867,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:37:00
141248,1778747880000,London,673.41,673.69,673.37,673.5,407.35,136.09,,,,1.1759,,,,,,,,,671.193,,0.391376,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:38:00
141249,1778747940000,London,673.5,673.78,673.43,673.69,350.77,35.77,,,,1.0427,,,,,,,,,671.198,,0.388421,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:39:00
42726,1778748000000,London,673.68,673.68,673.03,673.2,1615.2,-97.32,,,,1.1422,,,,,,,,,671.211,,1.04379,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:40:00
