ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,exit,result_r,m_taker,m_oi_d,m_tt
1705515120000,1705515060000,Long,NewYork,42361.6,42248.174399999996,42588.4512,-10.0,5.721624752205854,TARGET,2.0,1.21069761,-10.822999999989406,1.33366992
1705534320000,1705534260000,Short,Asia,42738.5,42779.195999999996,42657.10800000001,2.995152001204006,1.7878073070411344,STOP,-1.0,0.88589276,20.726999999998952,1.34339424
1705535400000,1705535340000,Short,Asia,42739.5,42822.830879999994,42572.83824000001,5.665693380600372,6.653021942443303,TARGET,2.0,0.40151585,79.7450000000099,1.34286993
1705551120000,1705550520000,Short,Asia,42607.3,42678.91584,42464.068320000006,0.1228978885523848,1.5480957101575947,STOP,-1.0,1.18019818,-15.34299999999348,1.33989254
1705556400000,1705555800000,Long,Asia,42763.0,42679.928719999996,42929.14256000001,2.051767649488578,3.2521197854028605,TARGET,2.0,1.00364599,40.02599999999802,1.33644206
1705558920000,1705558740000,Short,Asia,42818.7,42917.506559999994,42621.08688,8.914360198756881,2.573222779111343,STOP,-1.0,1.81619077,-3.221000000005006,1.34308716
1705569360000,1705569060000,Short,London,42735.1,42860.2608,42484.7784,3.9397854271607895,2.6020693352914375,STOP,-1.0,2.42316025,-1.2910000000119908,1.33783875
1705572600000,1705572120000,Long,London,42748.7,42670.23648,42905.62703999999,-1.1709936372312784,2.671414968615383,STOP,-1.0,1.41090526,-45.937000000005355,1.33589832
1705573800000,1705573740000,Long,London,42704.5,42648.354,42816.792,-3.3060310476660586,3.990024593801159,STOP,-1.0,0.86794956,-2.3619999999937136,1.33755814
1705580760000,1705580580000,Long,London,42411.1,42359.685119999995,42513.929760000006,-10.0,1.655355048558834,TARGET,2.0,0.86282414,67.69499999999243,1.32108006
1705591140000,1705591080000,Short,LondonNY,42785.6,42855.657119999996,42645.48576,4.537931914077682,3.494909525196191,TARGET,2.0,0.82874138,-15.487000000008265,1.33490597
1705599300000,1705598760000,Short,NewYork,41905.1,42176.91455999999,41361.470880000015,-2.7659912787904446,1.688747305506232,TARGET,2.0,1.57919897,-181.25900000000547,1.33278702
1705604700000,1705604520000,Long,NewYork,41542.7,41384.26608,41859.56783999999,-10.0,1.6869525416369264,STOP,-1.0,1.05318588,4.978000000002794,1.33601382
1705607460000,1705607400000,Long,NewYork,41268.5,41169.0384,41467.423200000005,-10.0,3.5137610752808683,STOP,-1.0,1.06818683,-26.24199999999837,1.34253848
1705617840000,1705617240000,Short,Asia,41291.4,41361.36264,41151.474720000006,-10.0,1.5188029974101345,STOP,-1.0,0.67624978,13.918000000005122,1.32457188
1705622520000,1705622460000,Long,Asia,41278.6,41210.90488,41413.99023999999,-1.5054062378192323,2.191311700520727,STOP,-1.0,1.17311457,156.3689999999915,1.32168865
1705622820000,1705622640000,Short,Asia,41326.5,41372.0712,41235.3576,2.8569456652139276,2.635721267410605,TARGET,2.0,1.17311457,156.3689999999915,1.32168865
1705623960000,1705623900000,Long,Asia,41167.7,41089.602,41323.89599999999,-2.2693472635360177,2.2943561963764205,STOP,-1.0,0.66230538,-0.6290000000008149,1.32433393
1705633380000,1705632960000,Short,Asia,41010.5,41190.22584,40651.04832,-3.192640969455741,2.9799175926272525,STOP,-1.0,0.91565741,46.637999999991735,1.29272924
1705640700000,1705640160000,Long,Asia,41140.0,41045.43736,41329.12527999999,-1.2485664542661083,4.485770279481936,TARGET,2.0,1.04794291,33.44899999999325,1.28638458
