tid,ts,entry,side,risk,r,oos
194,1767930300000,140.97699999999998,short,0.22295544467908712,2.24707592325827,False
195,1768184100000,142.3512,short,0.27949321684846495,-1.3819892346721414,False
196,1768228800000,140.0847,long,0.2572853773182828,-1.4083540467596336,False
197,1768312800000,141.6778,long,0.23183888954477538,2.255558180461914,False
198,1768342500000,147.40019999999998,short,0.3582609195904354,2.335426984144915,False
199,1768403400000,147.3999,short,0.3135746174788494,2.3119747048595505,False
200,1768810800000,133.9171,short,0.2008756500000004,1.1113834041742288,False
201,1768880100000,134.01350000000002,short,0.20102024999999912,-1.5000000000000022,False
202,1768919400000,128.9839,short,0.19347584999999867,-1.5000000000000036,False
203,1768921200000,128.09340000000003,long,0.262714590991294,-1.3656822015005008,False
204,1769005800000,129.30010000000001,short,0.2545161145760346,2.2967907058216412,False
205,1769012400000,128.4738,long,0.2840856621777448,-1.3391770963073562,False
206,1769024100000,130.8238,short,0.3410539554479328,-1.2876901101209461,False
207,1769178600000,126.2745,long,0.18941175000000499,-1.499999999999987,False
208,1769351100000,125.67439999999999,long,0.18851159999999823,1.2322997166275176,False
209,1769356500000,125.4659,long,0.18819885000000625,-1.4999999999999833,False
210,1769438400000,123.88829999999999,short,0.1858324500000066,2.2315731157355687,False
211,1769442000000,123.0991,long,0.2465677502385546,2.300299755534259,False
212,1769530200000,126.53529999999999,short,0.23873362608993887,2.2879891457731856,False
213,1769534100000,123.9975,long,0.2664298437993722,-1.3490529577085582,False
214,1769622600000,126.886,short,0.20597118212265286,2.2535849458310313,False
215,1769626800000,126.58699999999999,short,0.20171124942278595,2.2489738418412313,False
216,1769754300000,113.85300000000001,long,0.17077949999999475,-1.5000000000000155,False
217,1769798700000,117.3152,short,0.3528511771591951,-1.2493583859018935,False
218,1769871900000,109.8546,short,0.46468043337364406,2.405436431482651,False
219,1769950800000,105.9207,short,0.19560614034264745,-1.4061249041612003,False
220,1770012000000,97.3771,long,0.40958281129276486,2.4049011849958926,False
221,1770132300000,102.69460000000001,short,0.3516505346193952,2.383185617663135,False
222,1770269700000,91.22399999999999,short,0.34488879861103783,-1.198376984916698,False
223,1770291600000,90.4702,short,0.3102018556700301,1.9960043058096886,False
224,1770546000000,86.72300000000001,long,0.19505343782029172,-1.333458618965359,False
225,1770604800000,87.7205,short,0.23291433175430143,2.3493514772761426,False
226,1770733800000,84.71549999999999,short,0.16388235321932143,2.293228499992,False
227,1770819300000,82.8547,short,0.2181251253230414,2.3480602362936542,False
228,1771196700000,85.201,long,0.14449269484165939,2.264137557006971,False
229,1771422300000,82.36359999999999,long,0.1346475149546933,-1.4587734130911032,False
230,1771533000000,82.1185,short,0.1590493688909902,-1.3872311812957396,False
231,1771599600000,84.6409,short,0.22473145019382912,2.349347476862753,False
232,1771683600000,86.5727,short,0.1298590499999932,1.848046952418384,False
233,1771685700000,86.2267,long,0.12934004999999615,1.965315515279198,False
234,1771706700000,85.5087,short,0.12826305000000104,-1.499999999999996,False
235,1771850100000,80.7873,short,0.12118094999999585,2.1348025628591483,False
236,1771943700000,76.588,short,0.16294307603546088,-1.3525218830869454,False
237,1771981500000,79.74350000000001,short,0.13100172005057686,-1.4565407612732841,False
238,1772030400000,83.9971,long,0.16693484354792076,1.850241135226133,False
239,1772038800000,87.9296,short,0.22818705518537286,-1.2890050005090181,False
240,1772083200000,87.3088,long,0.1654707233546162,2.2889444169216793,False
241,1772118600000,86.74620000000002,short,0.23483982772357592,1.5570242415817104,False
242,1772287200000,81.3834,short,0.2299241166026178,2.358416939984292,False
243,1772373900000,86.7772,short,0.20623548155865024,2.3316929766998955,True
244,1772616900000,91.1755,short,0.2636408724519299,2.361667124445396,True
245,1772634900000,90.1123,long,0.2739616012934505,-1.2466923272492045,True
246,1772674800000,89.8084,long,0.1945386938559608,2.3153407978230227,True
247,1772938200000,82.1825,long,0.12327374999999563,2.067276962388389,True
248,1772968200000,82.9264,short,0.12438960000000066,-1.4999999999999973,True
249,1773009900000,82.1975,short,0.2210371105367841,2.3512512223845716,True
250,1773034800000,84.31360000000001,short,0.17221435350226955,-1.3671889056516224,True
251,1773059700000,84.0961,short,0.14083310004302518,-1.4478497951172784,True
252,1773318000000,87.33009999999999,short,0.13243253802646393,-1.4945731311659347,True
253,1773356400000,86.8484,short,0.13027259999999785,-1.5000000000000082,True
254,1773610200000,89.6182,short,0.1344272999999987,-1.5000000000000049,True
255,1773615000000,92.7403,short,0.24433800339475908,-1.2846680583192975,True
256,1773636900000,93.5325,long,0.2125828199142319,-1.3299860968459365,True
257,1773668700000,94.3374,short,0.21027319704370484,2.3205431765411504,True
258,1773890400000,91.0262,short,0.13653929999999548,-1.5000000000000164,True
259,1773894300000,89.7656,long,0.13464840000000322,-1.499999999999988,True
260,1773912000000,89.955,short,0.1509038425086402,2.261556767529411,True
261,1774013700000,88.6368,long,0.13713076454699547,2.241453202590128,True
262,1774016400000,88.5399,long,0.18972792453058673,2.3133329077012568,True
263,1774169700000,87.3253,short,0.13098795000000507,-1.4999999999999807,True
264,1774182300000,87.3906,short,0.1310859000000022,1.5688710655690519,True
265,1774212600000,86.5404,long,0.129810599999999,-1.500000000000004,True
266,1774232700000,86.85640000000001,short,0.1456129711106513,2.26140477228782,True
267,1774248300000,85.788,short,0.1367627369588149,2.2490895490755367,True
268,1774447500000,92.30870000000002,long,0.15194961887434033,-1.4556215771574477,True
269,1774795500000,81.71000000000001,long,0.12256499999999448,1.6589826607535088,True
270,1774821600000,81.4995,long,0.12224924999999587,-1.5000000000000169,True
271,1774882500000,84.51750000000001,short,0.1558260644140006,2.2830465645966114,True
272,1775315400000,81.27360000000002,short,0.12191040000000442,2.1841058273382874,True
273,1775423400000,79.6471,long,0.11947064999999668,-1.5000000000000138,True
274,1775592000000,81.98349999999999,short,0.17198276263405887,-1.3575220217320965,True
275,1775601300000,84.6676,short,0.21277147131138463,2.340829036941533,True
276,1775653500000,84.9128,short,0.12736920000000396,1.7604190768575834,True
277,1775669700000,84.05380000000001,short,0.12608070000000282,1.9439031996210394,True
278,1775696700000,81.7678,long,0.1226517000000058,1.9360583232881665,True
279,1775823900000,83.3825,long,0.12507374999999854,1.5189442950775909,True
280,1775959200000,82.2665,short,0.1720283329845529,2.1820755320834095,True
281,1775998500000,81.9385,long,0.12290774999999599,1.292900952820383,True
282,1776003000000,81.8954,long,0.12284309999999721,-1.5000000000000113,True
