bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1755186300000,long,118050.0,641.4391203707067,-1.2283307979461915,False,H5,chop,-13.627,568.7916,0.2012,7.0,1.006,0.1903,0.0,-0.0057,-0.0063,-5.343,2.0858,0.3285,4.0,-0.088,0.1253,0.0,0.0609,0.0918,-27.702,2.3832,0.9074,18.0,-8.8,0.0796,0.0,0.0007,0.0078
1755701100000,short,113470.0,393.22639450883514,-1.1998149365947894,False,H5,chop,-10.967,0.4191,1.4194,3.0,-0.783,0.1664,1.0,-0.4828,-0.8916,8.597,2.149,1.597,4.0,6.415,0.0917,0.0,0.1687,0.442,-0.562,0.9802,1.2758,13.0,6.415,0.0382,0.0,-0.0026,-0.0594
1755714600000,long,113270.0,439.9366755589025,2.479737206085754,False,H5,chop,0.266,0.9734,0.6636,12.0,-12.867,0.1967,0.0,-0.5423,-0.6909,-6.34,4.2004,-0.0534,5.0,-5.175,0.1178,0.0,0.2644,0.5713,-6.074,1.5063,0.3621,31.0,-5.175,0.0803,0.0,-0.3428,-3.5929
1755741600000,short,114690.0,296.59582886457207,8.601005609323483,False,H5,chop,5.188,9.1317,-0.2708,10.0,-4.672,0.213,0.0,0.5563,0.9063,0.51,1.6911,-0.6303,6.0,-0.444,0.1197,0.0,0.1081,0.2862,0.51,1.6911,-0.7017,6.0,-0.444,0.0808,0.0,-0.1373,-1.1577
1755814500000,long,112570.0,305.3181051644095,-1.4433529907065898,False,H5,chop,0.725,0.4807,-0.1346,2.0,3.336,0.4533,0.0,-0.0471,-0.0065,-5.022,15.0672,-0.3952,4.0,-0.065,0.2427,0.0,0.1467,0.1156,-6.348,4.3947,-0.1476,4.0,-0.048,0.1297,0.0,-0.0676,-0.156
1755895500000,long,116970.0,356.44578922710497,-1.392672358813996,False,H5,chop,1.573,0.0,-0.6578,3.0,1.058,0.3261,1.0,0.4135,0.2577,-14.629,3.3023,1.3288,2.0,3.148,0.1631,0.0,0.1574,0.2742,7.804,0.7704,1.917,2.0,3.456,0.0876,1.0,0.327,2.3754
1756082700000,long,112240.0,471.0312095531179,2.261008953555684,False,H5,chop,-4.126,3.9514,-0.4439,23.0,-0.536,0.1264,0.0,-0.4145,-1.1319,10.316,0.1249,0.016,4.0,-0.552,0.1854,0.0,0.0792,0.2336,6.19,0.5306,0.0563,17.0,-1.088,0.0594,0.0,-0.2704,-3.0688
1756125900000,long,111590.0,330.2459230978303,-1.2340646420266719,False,H5,chop,5.765,0.0093,0.611,1.0,2.783,0.3404,0.0,0.5112,0.1871,-6.409,2.1632,1.433,4.0,-3.824,0.1483,0.0,-0.0512,-0.0652,-3.351,1.2609,0.4365,3.0,-3.268,0.0779,0.0,0.1566,1.3339
1756212300000,short,110520.0,364.70937572943154,0.6137521416690448,False,H5,chop,-1.764,0.8088,0.0887,5.0,-1.306,0.1476,0.0,0.0583,0.2072,9.808,8.5504,-0.1904,4.0,0.7,0.0589,0.0,-0.1488,-1.0945,8.044,1.7641,0.2177,5.0,-1.306,0.0524,0.0,-0.0443,-0.7568
1756694700000,long,107500.0,293.83871218230047,-1.5,False,H5,chop,-15.628,18.8198,0.7421,6.0,-2.415,0.4266,0.0,-0.2571,-0.1629,-5.082,2.0136,-0.2393,3.0,-3.43,0.1417,0.0,0.1471,0.5923,-56.274,4.9328,2.9079,9.0,-3.43,0.082,0.0,-0.0387,-0.4453
1756723500000,long,108300.0,346.5562104559289,1.8727995024680943,False,H5,chop,24.816,0.3206,3.7427,2.0,3.353,0.2433,1.0,0.1773,0.2615,5.49,0.6392,0.9493,1.0,1.156,0.1747,0.0,0.3712,1.0058,21.499,0.5887,3.1581,8.0,3.353,0.0519,0.0,-0.0175,-0.3073
1756771200000,short,109200.0,345.6065188878092,-1.264362715178444,False,H5,chop,-10.97,0.4329,3.8687,7.0,4.748,0.3523,1.0,0.2772,0.1407,0.926,2.0255,-0.8097,3.0,0.726,0.2066,0.0,-0.3967,-0.6532,-49.318,0.2123,2.5151,2.0,0.639,0.1031,0.0,-0.2731,-1.7381
1756782900000,short,110360.0,365.18273766851064,-1.5000000000000193,False,H5,chop,-29.828,0.1747,1.914,1.0,0.186,0.2405,1.0,-0.2244,-0.29,0.721,1.2852,-0.6638,5.0,4.644,0.1215,0.0,-0.1192,-0.4766,-41.793,0.2672,0.8509,4.0,4.644,0.0908,0.0,-0.1353,-1.8114
1756922400000,short,112280.0,337.3742470946922,3.723219789488528,False,H5,chop,-14.474,0.0684,1.3874,0.0,0.131,0.2571,0.0,-0.5154,-0.4105,4.418,2.6856,-0.0025,4.0,0.154,0.3427,0.0,0.3366,0.5712,-0.822,0.9074,0.0522,4.0,0.154,0.1293,0.0,-0.0461,-0.3271
1757524500000,short,113960.0,304.5834208335437,-1.4999999999999931,False,H5,trend,15.606,7.2002,1.4151,11.0,-3.77,0.3334,0.0,0.4708,0.3427,-2.022,0.7492,1.2094,5.0,-3.191,0.0848,0.0,-0.3755,-1.14,13.584,2.2841,1.4675,5.0,-3.191,0.0561,0.0,-0.0564,-0.4565
1758043800000,short,116770.0,306.9233695840715,-1.5000000000000033,False,H5,chop,19.015,25.7269,0.0614,7.0,-7.608,0.2176,0.0,0.0438,0.1252,19.306,2.1948,1.2841,11.0,-11.09,0.0843,0.0,-0.2399,-2.2817,38.321,3.2639,0.4289,11.0,-11.09,0.0932,0.0,-0.005,-0.1434
1758522600000,long,112750.0,403.31419399423334,-1.2306489779541347,False,H5,chop,-10.948,2.0433,0.5542,28.0,-7.577,0.0982,0.0,-0.4246,-2.234,14.115,0.6691,1.2909,12.0,-2.107,0.1328,0.0,-0.1745,-1.1509,-45.852,1.4074,3.4891,11.0,-198.959,0.039,0.0,-0.0629,-4.2889
1758551400000,short,113350.0,318.67139683907266,6.876988678135795,False,H5,chop,63.47,12.0363,4.9467,10.0,3.314,0.2705,1.0,0.3464,0.7276,21.217,3.8941,2.3363,3.0,-0.909,0.1287,0.0,-0.1831,-0.6794,84.687,7.4736,1.8122,3.0,3.314,0.0842,0.0,0.0316,0.5643
1758617100000,long,113000.0,209.2371616367225,-1.5,False,H5,chop,2.924,0.592,0.2609,5.0,-2.15,0.7761,1.0,-0.4377,-0.1899,-17.262,3.2354,2.1336,4.0,-0.739,0.3008,0.0,-0.0367,-0.0516,-29.631,2.0236,2.2159,3.0,1.797,0.173,0.0,-0.1392,-1.0194
1758650400000,long,111870.0,295.6341424077629,-1.5000000000000209,False,H5,chop,1.371,0.8406,0.0738,2.0,3.615,0.4758,0.0,-0.0362,-0.0444,-28.962,34.328,1.0279,7.0,-0.663,0.1665,0.0,-0.0573,-0.2169,-30.007,3.162,0.6605,6.0,0.204,0.1285,0.0,-0.0438,-0.5521
1758687300000,long,111340.0,306.855268560784,2.4371517098341933,False,H5,trend,31.612,0.3958,1.4796,14.0,-14.155,0.1033,0.0,-0.195,-2.4917,-1.983,1.4112,-0.1173,1.0,11.521,0.1013,0.0,0.4337,2.5387,29.629,0.4815,1.7554,11.0,-14.155,0.0484,0.0,-0.0426,-1.2723
1758814200000,long,110860.0,398.0764104546847,1.6550996651152043,False,H5,chop,1.305,0.8443,-0.1915,5.0,-7.999,0.3425,0.0,-0.0508,-0.0628,3.08,0.4358,-0.4277,6.0,-7.972,0.0704,0.0,0.3588,1.0269,4.385,0.6832,-0.3532,5.0,-7.999,0.0685,0.0,-0.0056,-0.0667
1758895200000,short,109680.0,349.3390039963761,1.762369969042905,False,H5,chop,4.168,2.6422,-0.1404,6.0,-2.187,0.2251,0.0,0.0416,0.0444,-0.924,0.8261,-0.0584,5.0,-0.415,0.3941,0.0,0.0184,0.0675,-0.924,0.8261,-0.3682,5.0,-0.415,0.1416,0.0,-0.0501,-0.6078
1759515300000,long,121980.0,630.264992859923,-0.5417700260848579,False,H5,chop,4.47,0.3604,0.0054,2.0,0.058,0.1566,0.0,0.3281,0.3007,0.02,0.9327,-0.7801,7.0,0.32,0.143,0.0,-0.0821,-0.1821,-2.144,1.2742,-0.105,5.0,-4.365,0.0542,0.0,-0.022,-0.1756
1759633200000,short,124060.0,307.06511825428254,-1.5000000000000093,False,H5,chop,16.918,5.9195,0.2809,15.0,10.603,0.4759,0.0,-0.0392,-0.1392,3.836,192.8,-0.765,8.0,0.571,0.0969,0.0,-0.2204,-0.8673,2.033,1.9313,-0.8359,8.0,15.089,0.082,0.0,-0.0068,-0.0967
1759764600000,short,125130.0,401.05348656174704,-1.2556711109054184,False,H5,chop,-2.201,0.4075,-0.3193,1.0,1.616,0.3075,0.0,-0.2515,-0.2145,-1.857,0.7468,0.2666,3.0,0.886,0.1454,0.0,-0.1487,-0.2486,1.375,1.0537,2.4504,10.0,-10.732,0.0708,0.0,0.0487,0.3659
1759777200000,short,126000.0,404.1987261498695,10.669402102389348,False,H5,chop,133.478,2.5699,7.7057,3.0,1.054,0.2173,1.0,0.1119,0.5429,12.674,5.2064,-0.119,6.0,-0.188,0.1203,0.0,-0.1747,-0.9671,12.674,5.2064,-0.4897,6.0,-0.188,0.0594,0.0,-0.059,-0.8326
1759845600000,short,123880.0,406.9402357097074,8.68759583016422,False,H5,trend,58.861,6.8932,3.7775,18.0,-12.752,0.1665,1.0,0.4618,1.4433,-1.157,0.1208,-0.8803,7.0,0.304,0.0657,0.0,-0.2993,-3.6522,-1.157,0.1208,-0.9643,7.0,0.304,0.0426,0.0,-0.1494,-4.3082
1759858200000,long,121220.0,525.3400570413887,-1.4999999999999951,False,H5,chop,1.396,0.8085,-0.1214,4.0,-3.041,0.3155,0.0,0.0603,0.0697,-1.797,1.2808,0.0695,5.0,-1.501,0.1864,0.0,0.0552,0.0883,-0.745,1.0372,0.2811,4.0,-2.197,0.0782,0.0,-0.0524,-0.5202
1759931100000,long,121790.0,404.43081920335794,1.4308234712182482,False,H5,chop,-8.736,1.9668,0.3878,10.0,1.544,0.1003,0.0,-0.545,-3.8035,0.409,0.9667,0.6225,8.0,-1.0,0.0717,0.0,0.2296,1.8358,-8.327,1.3904,0.4906,14.0,-1.0,0.0423,0.0,-0.1526,-3.3642
1760024700000,long,120730.0,495.9088308502927,-1.499999999999997,False,H5,chop,-19.997,2.3498,3.7982,4.0,6.008,0.311,1.0,-0.1955,-0.158,-1.919,4.6208,-0.6565,8.0,6.669,0.1428,0.0,0.1036,0.3233,-21.916,2.4282,1.2891,8.0,6.669,0.0601,0.0,0.0681,0.8236
1760103900000,short,122220.0,319.84272886412987,4.684381941477756,False,H5,chop,-5.525,0.0031,-0.5707,2.0,-3.119,0.1738,0.0,-0.2787,-0.8203,-0.269,0.8,-0.772,4.0,0.171,0.0855,0.0,-0.1685,-1.3774,17.194,3.4034,0.1075,7.0,-0.212,0.0685,0.0,0.0433,0.9447
1760116500000,long,117800.0,587.8020799660803,-1.2546472620999696,False,H5,chop,-2.701,1.2732,0.4637,2.0,-48.446,0.1601,0.0,0.1599,0.3453,7.332,0.3566,-0.1107,3.0,1.144,0.1136,0.0,0.3053,0.9928,-58.166,2.3748,1.5533,5.0,-2.759,0.0666,0.0,-0.0312,-0.5932
1760156100000,short,112440.0,983.8066380438376,0.9735904994474588,False,H5,chop,-1.988,0.7171,2.2812,7.0,-1.368,0.2503,0.0,0.2429,0.0457,8.233,2.3844,1.8018,2.0,0.631,0.1627,1.0,-0.104,-0.0707,8.722,1.6457,1.8947,25.0,-7.455,0.0545,0.0,0.1582,0.5833
1760183100000,long,112280.0,491.80418612074664,-1.3204934903668386,False,H5,chop,-0.262,1.1817,0.042,1.0,0.51,0.6717,1.0,0.0601,0.0051,1.576,0.6519,0.4601,5.0,-6.298,0.1372,0.0,-0.0388,-0.0256,-6.973,1.4405,1.8862,7.0,-0.222,0.0887,0.0,-0.0291,-0.124
1760236200000,short,110420.0,460.35420357374153,1.3129504298921513,False,H5,chop,-4.432,0.5618,1.7669,11.0,3.833,0.3075,0.0,-0.2099,-0.1286,2.784,12.5041,-0.3283,6.0,-0.39,0.092,0.0,0.1379,0.2247,-1.648,0.8408,0.1665,9.0,-0.39,0.135,0.0,0.1777,1.3726
1760280300000,long,111330.0,447.221903544083,8.566608404153506,False,H5,trend,0.902,0.5495,0.0639,3.0,0.667,0.2505,0.0,0.1876,0.0584,-4.15,3.888,-0.7694,3.0,1.602,0.042,0.0,0.1881,3.6152,0.639,0.9605,0.2806,19.0,-0.759,0.0365,0.0,0.1428,3.1573
1760372100000,short,114880.0,587.8444276972767,-1.2066379779053042,False,H5,chop,9.48,3.4675,0.1151,10.0,4.979,0.3196,0.0,0.1939,0.3308,-6.952,0.1369,0.1156,3.0,0.545,0.1006,0.0,-0.0187,-0.0312,8.807,1.6237,0.655,6.0,4.979,0.0898,0.0,0.2123,1.5802
1760453100000,short,111780.0,568.5336756338472,1.1908472934181042,False,H5,chop,53.86,6.0763,8.0013,16.0,-4.863,0.2264,1.0,0.3893,0.3523,4.399,1.3668,1.874,3.0,-2.965,0.1434,0.0,-0.1212,-0.2629,60.368,2.8537,3.6856,13.0,-0.449,0.0524,0.0,0.1601,2.4325
