bar_ts,side,lvl,atr,r,oos,kind,regime,delta_at_fill,delta_norm,fill_found,ticks_until_fill,fill_frac
1767612600000,short,92940.0,209.56197024391935,-1.2876918498255048,False,H5,chop,2.08,0.0099,True,268,0.023
1767627000000,long,93340.0,342.9334600080353,-0.12728745736058034,False,H5,trend,-2.186,-0.0064,True,196,0.003
1767717900000,long,92360.0,360.30085128973326,-1.500000000000023,False,H5,chop,-16.605,-0.0461,True,13044,0.265
1767735900000,short,93600.0,392.51546393594913,7.64102755075191,False,H5,chop,1.759,0.0045,True,250,0.007
1767796200000,long,91500.0,261.4018668308106,1.3808888888889237,False,H5,chop,-1.609,-0.0062,True,194,0.002
1767816000000,short,91170.0,328.1283973942329,-1.3942609254967397,False,H5,chop,3.98,0.0121,True,222,0.012
1767853800000,long,90200.0,244.26574464389657,-1.4999999999999893,False,H5,chop,67.438,0.2761,True,10232,0.516
1767862800000,long,90150.0,263.0908484653971,-1.4999999999999785,False,H5,chop,-76.185,-0.2896,True,4578,0.268
1768190400000,long,91760.0,308.4719706970908,-1.5000000000000022,False,H5,chop,13.984,0.0453,True,3260,0.167
1768204800000,long,91360.0,234.49361839792257,-1.5000000000000233,False,H5,chop,-4.333,-0.0185,True,221,0.01
1768282200000,short,92050.0,229.66508042758667,-1.2969147060902797,False,H5,chop,4.158,0.0181,True,162,0.008
1768321800000,long,93110.0,377.2865636534864,3.0671162333724467,False,H5,chop,-9.251,-0.0245,True,963,0.024
1768414500000,long,96650.0,466.09689886425747,-1.438191565500282,False,H5,chop,-12.415,-0.0266,True,520,0.015
1768460400000,short,96200.0,245.45889891961866,-1.4381630620543824,False,H5,chop,1.166,0.0048,True,358,0.043
1768499100000,short,96950.0,445.30084147656095,6.064734229415945,False,H5,chop,15.724,0.0353,True,5832,0.19
1768901400000,long,90990.0,282.30746501203174,-1.3830042666880036,False,H5,chop,-10.425,-0.0369,True,596,0.051
1768922100000,long,90250.0,364.25009537869636,-1.1252167825445638,False,H5,chop,4.373,0.012,True,1010,0.016
1769011200000,short,90260.0,424.00960476445283,8.344347623337065,False,H5,chop,18.015,0.0425,True,938,0.024
1769095800000,long,88580.0,327.3334548599746,2.531169564235808,False,H5,chop,-83.037,-0.2537,True,1771,0.027
1769185800000,long,89490.0,373.01218044408915,0.9746621836603045,False,H5,trend,-2.543,-0.0068,True,4461,0.053
1769366700000,long,87000.0,323.55458888428825,-1.1989398125600936,False,H5,chop,-4.012,-0.0124,True,1594,0.037
1769437800000,long,87640.0,254.15388819343457,0.9246496822322031,False,H5,trend,-6.458,-0.0254,True,352,0.003
1769445900000,long,87420.0,429.41853643313766,-1.357780856779099,False,H5,chop,0.709,0.0017,True,199,0.006
1769634000000,long,89050.0,420.4885830751409,-1.3476304084193371,False,H5,chop,1.393,0.0033,True,5356,0.137
1769655600000,long,87850.0,321.156800179763,-1.2350697065368093,False,H5,chop,-6.261,-0.0195,True,375,0.009
1769710500000,short,84500.0,542.1481623251449,5.692956804086987,False,H5,trend,10.237,0.0189,True,3955,0.049
1769738400000,short,82440.0,540.7541976057926,1.0368481984572555,False,H5,chop,3.69,0.0068,True,756,0.01
1769747400000,short,82990.0,468.2975129884868,0.4040103849692009,False,H5,chop,41.011,0.0876,True,1764,0.093
1769870700000,long,80900.0,386.2169571506944,-1.2460918951355264,False,H5,chop,-21.05,-0.0545,True,1684,0.025
1769876100000,long,80920.0,512.1503518314532,-1.1597788157993778,False,H5,chop,-1.532,-0.003,True,3160,0.014
