bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1743600600000,long,84560.0,322.0953799615364,10.92162157169577,False,H5,trend,57,0.25,41,1.5,19,1.375,11,5,agotada
1743645600000,short,83730.0,503.68201094574255,0.8308848699771199,False,H5,chop,84,0.25,40,4.0,13,1.5,5,5,agotada
1743654600000,long,83280.0,396.261019716364,-1.4190111238846979,False,H5,chop,24,0.25,12,1.5,12,1.125,8,7,agotada
1743760800000,short,84610.0,323.1027530334958,7.9754612438060875,False,H5,trend,7,0.25,14,2.0,10,9.5,3,5,agotada
1743777900000,long,82220.0,614.7471510171173,3.8669245589394565,False,H5,chop,40,0.25,16,1.75,6,1.6875,8,4,agotada
1743966000000,long,78880.0,455.44213591366025,-1.168614005482988,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1743973200000,long,78800.0,523.681687166833,-1.216626012128672,False,H5,trend,4,0.25,2,2.0,1,1.25,1,0,fresca
1743986700000,long,77860.0,687.471978648265,-1.2637915209429593,False,H5,trend,8,0.25,2,1.75,1,1.1875,1,0,fresca
1744009200000,long,74760.0,686.9230974846572,7.295939936935741,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1744074000000,long,78990.0,490.55874842798096,1.2239985127134498,False,H5,chop,89,0.25,30,2.0,8,1.25,10,5,agotada
1744135200000,short,77310.0,549.0485926115421,-1.1810469964509183,False,H5,chop,96,0.25,44,2.0,19,1.5,7,3,agotada
1744156800000,long,76280.0,441.22993265882997,-1.4250135182305934,False,H5,trend,9,0.25,11,2.0,4,2.0,9,3,confirmada
1744164900000,short,76230.0,579.7409831214186,-1.1711058642331373,False,H5,trend,94,0.25,46,1.25,19,1.5625,6,3,agotada
1744304400000,short,79440.0,581.9904646559722,-1.1657312797668766,False,H5,trend,94,0.25,23,2.0,13,1.25,1,8,agotada
1744381800000,long,81420.0,510.213474496314,7.276288500838084,False,H5,chop,77,0.25,32,5.5,18,1.625,14,6,agotada
1744596000000,long,84170.0,455.6785783020887,0.7842277698663638,False,H5,chop,59,0.25,31,2.0,17,1.5,13,6,agotada
1744646400000,long,84060.0,483.5760662822008,2.491211276060723,False,H5,chop,48,0.25,23,2.0,15,2.0,17,8,agotada
1744817400000,short,85100.0,340.2138992907948,-1.3032736810536123,False,H5,chop,9,0.25,23,22.5,13,5.875,12,11,agotada
1745235000000,long,86760.0,204.6550112091786,1.283977247842567,False,H5,chop,57,0.25,38,10.5,18,2.875,2,2,agotada
1745247600000,short,88200.0,384.34773779649635,1.323015873015844,False,H5,chop,3,0.25,0,0.0,0,0.0,0,0,virgen
1745289900000,long,87910.0,336.21406726898505,5.288256929435198,False,H5,chop,93,0.25,47,1.75,19,1.6875,4,2,agotada
1745332200000,long,90150.0,381.7905405768623,4.04196339434259,False,H5,chop,96,0.25,47,1.5,19,1.625,1,0,agotada
1745370000000,long,92850.0,496.0554790388349,-1.316946308743088,False,H5,chop,92,0.25,47,2.0,19,1.25,3,1,agotada
1745403300000,long,93380.0,308.24966834463885,1.6236068389863334,False,H5,chop,87,0.25,45,3.25,19,1.5625,6,3,agotada
1745503200000,long,92700.0,282.1161604735971,0.8023462810543573,False,H5,chop,55,0.25,31,2.0,17,1.5,15,6,agotada
1745516700000,long,92680.0,305.83336909497353,8.748582937706518,False,H5,chop,52,0.25,28,3.75,16,1.4375,16,6,agotada
1745543700000,short,94170.0,292.3440258547434,0.7456703548835213,False,H5,chop,5,0.25,8,1.25,6,1.3125,7,5,agotada
1745584200000,long,94380.0,289.62647344761655,-1.4999999999999754,False,H5,chop,96,0.25,47,1.5,19,1.125,0,1,agotada
1745848800000,long,93900.0,359.3495033253672,-1.4999999999999793,False,H5,chop,55,0.25,36,9.0,14,2.5,19,12,agotada
1745892900000,long,94750.0,288.7472601504065,-1.2833581980350335,False,H5,chop,89,0.25,47,1.25,19,1.5625,7,5,agotada
1746410400000,long,93840.0,272.9079107516317,1.3618357487923316,False,H5,chop,4,0.25,1,3.0,1,1.5,1,0,fresca
1746455400000,long,93800.0,283.05722864113415,-1.5000000000000104,False,H5,chop,20,0.25,8,1.5,3,1.625,7,2,confirmada
1746641700000,long,96190.0,301.816145625983,0.47463739314537196,False,H5,chop,39,0.25,35,1.25,17,3.5625,7,4,agotada
1746672300000,short,98670.0,325.03918911675606,-1.3199972536111053,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1746719100000,short,101300.0,422.0320317722174,-1.248684152377973,False,H5,chop,1,0.25,0,0.0,0,0.0,0,0,virgen
1746783000000,long,102530.0,429.64645805923334,1.2717255774313032,False,H5,chop,80,0.25,45,1.5,19,1.375,8,3,agotada
1746932400000,long,103710.0,349.6843006568593,0.46222150869216555,False,H5,chop,89,0.25,47,2.0,19,1.75,6,5,agotada
1746990000000,short,104510.0,305.5477868845452,0.556717803892029,False,H5,chop,44,0.25,12,4.0,7,1.75,10,6,agotada
1747037700000,long,104250.0,411.9654016409135,-1.2472008795010998,False,H5,chop,92,0.25,47,1.25,19,1.0625,13,8,agotada
1747065600000,long,102460.0,505.35723555674093,-1.2716913723972723,False,H5,chop,7,0.25,1,2.0,4,17.0,0,4,confirmada
1747107000000,long,101550.0,377.98434965457807,6.600292153174525,False,H5,chop,14,0.25,4,1.5,2,1.875,3,1,fresca
1747243800000,long,102820.0,331.09660395443564,0.6061342629576633,False,H5,chop,11,0.25,22,1.5,9,1.375,7,4,agotada
1747317600000,long,102040.0,353.615320989672,-1.12178474464401,False,H5,chop,29,0.25,8,2.0,7,1.5,4,6,agotada
1747324800000,short,103200.0,386.7353456798178,-1.4999999999999907,False,H5,chop,50,0.25,37,12.0,17,3.0,8,12,agotada
1747592100000,long,104220.0,404.05470847551874,-1.185703160170592,False,H5,chop,82,0.25,44,4.25,19,1.5625,3,2,agotada
1747611900000,long,105750.0,471.84481964633136,-1.3103464002974878,False,H5,trend,96,0.25,47,1.75,19,1.9375,0,0,agotada
1747681200000,long,104720.0,374.29326651860595,1.3260504201680192,False,H5,chop,85,0.25,44,2.0,19,1.75,8,4,agotada
1747710900000,long,105860.0,376.3111367770431,-1.50000000000002,False,H5,chop,92,0.25,47,1.25,19,1.8125,5,2,agotada
1747756800000,short,105300.0,315.9051541469449,-1.5000000000000093,False,H5,chop,82,0.25,28,4.0,9,2.0,15,7,agotada
1747814400000,long,106420.0,402.47158577965797,-1.4999999999999853,False,H5,chop,81,0.25,45,4.0,19,2.0,13,5,agotada
1747836900000,short,107430.0,334.7604598071007,-1.4999999999999873,False,H5,chop,20,0.25,10,1.25,5,2.5625,7,5,agotada
1747944000000,long,111100.0,386.50619190830787,-1.2379174293933064,False,H5,chop,92,0.25,47,2.0,19,2.0,9,3,agotada
1748004300000,short,108540.0,487.17136669348287,-1.2636233390607716,False,H5,chop,96,0.25,45,1.75,12,1.1875,4,2,agotada
1748009700000,short,109850.0,534.7142016849925,3.551896848196945,False,H5,chop,90,0.25,39,1.25,11,1.5625,4,3,agotada
1748135700000,long,107300.0,367.7805059100933,-1.4049155892589822,False,H5,trend,12,0.25,10,1.25,6,1.3125,9,5,agotada
1748215800000,long,108600.0,387.4973893339313,3.404747342871576,False,H5,chop,96,0.25,46,1.5,15,1.875,10,6,agotada
1748309400000,long,108300.0,366.540357755833,0.6482160578020455,False,H5,chop,1,0.25,22,26.5,13,7.375,3,6,agotada
1748529000000,long,106950.0,359.6361246146061,-1.4397397403664247,False,H5,chop,23,0.25,7,10.5,4,2.625,7,4,confirmada
1748569500000,short,105830.0,394.81593876184286,-1.5000000000000147,False,H5,chop,95,0.25,47,1.75,19,1.4375,2,1,agotada
1748592000000,long,104940.0,296.59646280500914,-1.235679617940383,False,H5,chop,5,0.25,3,7.0,2,2.0,3,1,fresca
1748871000000,long,103960.0,276.57357761571154,-1.3438688928732307,False,H5,chop,16,0.25,17,1.5,12,1.375,12,9,agotada
1749046500000,long,104440.0,246.64449964234544,0.9288567395982548,False,H5,chop,2,0.25,8,1.25,9,10.5625,3,7,agotada
1749526200000,short,109440.0,270.50454227911837,-1.4999999999999893,False,H5,chop,26,0.25,6,1.5,1,1.875,0,0,fresca
1749572100000,short,109080.0,348.59192283862745,0.9319724917621777,False,H5,chop,76,0.25,19,1.25,5,1.0625,2,1,agotada
1749652200000,short,110210.0,303.96366008028394,9.917887673557013,False,H5,chop,18,0.25,12,2.5,5,3.625,12,5,agotada
1749699000000,long,107840.0,264.08931890039565,-1.347688031908115,False,H5,chop,3,0.25,1,5.5,7,1.875,1,2,agotada
1749759300000,long,106360.0,402.02591394209213,-1.50000000000002,False,H5,chop,3,0.25,2,1.25,2,1.0625,1,1,fresca
1750085100000,short,107610.0,275.1370126599737,-1.4070292961329725,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1750119300000,long,106190.0,441.3818923962743,2.278784262584094,False,H5,chop,26,0.25,31,11.25,16,3.0625,4,3,agotada
1750174200000,long,104220.0,364.8275734224531,-1.4999999999999944,False,H5,chop,2,0.25,1,42.5,3,10.875,1,3,confirmada
1750253400000,long,103870.0,268.5566027074964,1.730526940727259,False,H5,chop,21,0.25,9,2.5,4,1.375,9,3,confirmada
1750259700000,long,104340.0,395.1379007907148,1.3794134560092282,False,H5,chop,59,0.25,18,1.25,6,1.8125,13,5,agotada
1750441500000,long,102800.0,432.48128600378595,0.399617156580128,False,H5,trend,2,0.25,0,0.0,0,0.0,0,0,virgen
1750542300000,long,101700.0,339.09373527748306,-1.0983212323016462,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1750702500000,short,102820.0,588.7363003233827,-1.2369968474358801,False,H5,chop,3,0.25,18,1.25,14,1.5625,15,8,agotada
1750707900000,long,102660.0,527.869510077061,9.980671445619727,False,H5,chop,96,0.25,47,1.75,14,1.9375,2,3,agotada
1750784400000,short,106200.0,351.5476865510088,2.410451977401104,False,H5,chop,3,0.25,1,19.0,1,5.25,1,1,fresca
1751551200000,short,110240.0,352.06785613458896,4.834583416134974,False,H5,chop,7,0.25,2,4.0,1,1.5,2,0,fresca
1751638500000,long,107700.0,233.84370358782024,-1.4136772353656926,False,H5,chop,2,0.25,1,1.25,8,12.5625,0,2,agotada
1752072300000,long,108640.0,255.84491845367455,3.0587923128823724,False,H5,chop,87,0.25,46,2.75,19,1.6875,10,10,agotada
1752173100000,long,113010.0,385.4000153839712,3.831790696988481,False,H5,chop,94,0.25,47,1.75,19,1.6875,1,0,agotada
1752227100000,short,118610.0,355.14094227543444,1.481049944812734,False,H5,chop,4,0.25,2,3.75,1,1.4375,2,0,fresca
1752250500000,long,116730.0,440.8448945544495,2.6326261585438315,False,H5,chop,55,0.25,38,1.25,18,1.0625,3,3,agotada
1752479100000,short,122900.0,446.5520431631828,7.187628450083857,False,H5,chop,2,0.25,1,2.75,0,0.0,1,0,virgen
1752504300000,long,120730.0,427.98416250882775,-1.499999999999997,False,H5,chop,57,0.25,38,10.75,18,2.6875,3,3,agotada
1752673500000,long,118250.0,320.2997441276437,1.5010923185341791,False,H5,chop,80,0.25,33,1.75,13,1.4375,3,5,agotada
1752680700000,long,118950.0,482.8806750985673,0.39719618997222045,False,H5,chop,96,0.25,40,1.75,15,1.9375,3,7,agotada
1752717600000,long,118090.0,392.95493519281945,0.5460591236807871,False,H5,chop,38,0.25,36,3.0,13,1.5,9,6,agotada
1752783300000,long,118780.0,391.83234547850054,0.6164000782509131,False,H5,chop,80,0.25,45,1.25,17,1.0625,15,8,agotada
1752848100000,short,119060.0,401.4655710462665,1.4940625574774042,False,H5,trend,94,0.25,38,1.25,13,1.5625,17,10,agotada
1753119900000,long,117450.0,384.16737041203044,1.6033276571590482,False,H5,chop,24,0.25,17,1.75,12,4.4375,13,12,agotada
