sym,ts,ts_ms,session,direction,close,range_bars,range_pct,cvd_rng,vr,ext_pct,pre_cvd_ok,score,result_r,bars_held,reason,cum_delta,last5_delta,avg_obi,avg_vpin,expansion_n,stacked_bear,stacked_bull,oi_mom_n,vr_brk,dz_dir,obi_brk,flags
BNBUSDT,06-06 15:02,1780758120000,LondonNyOverlap,Short,574.29,15,0.374,-396.0,2.76,0.141,True,6.0,-0.875,60,TIMEOUT,-291.0,-224.0,-0.004,0.291,2,14,11,6,3.85,-3.91,-0.941,rango_ok|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.8x)|obi_alineado
BNBUSDT,06-06 16:19,1780762740000,LondonNyOverlap,Short,574.39,15,0.534,-767.0,2.32,0.094,True,3.0,0.069,60,TIMEOUT,-1017.0,-99.0,0.081,0.303,0,17,8,0,2.32,-2.9,0.881,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.3x)|VPIN_TOXICO
BNBUSDT,06-06 18:26,1780770360000,NewYork,Long,575.65,15,0.309,273.0,4.62,0.092,True,7.0,-0.922,60,TIMEOUT,511.0,70.0,-0.234,0.249,0,12,13,0,4.62,0.55,-0.681,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|dz_ok(0.5)|vr_ok(4.6x)
BNBUSDT,06-07 08:28,1780820880000,London,Long,590.73,15,0.406,483.0,4.1,0.102,True,2.0,2.0,20,TARGET,-1617.0,276.0,-0.192,0.334,14,11,13,0,4.1,-3.25,-0.327,pre_cvd_ok|vr_ok(4.1x)
BNBUSDT,06-07 09:34,1780824840000,London,Short,594.44,15,0.449,-3808.0,2.66,0.106,True,3.0,0.473,60,TIMEOUT,-4281.0,-1736.0,0.03,0.378,0,16,9,0,2.66,-3.42,0.878,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.7x)|VPIN_TOXICO
BNBUSDT,06-07 11:06,1780830360000,London,Long,594.42,15,0.36,598.0,5.42,0.088,True,6.0,-0.342,60,TIMEOUT,350.0,168.0,-0.092,0.276,2,13,12,4,5.42,-4.66,-0.625,rango_ok|presion_compradora_fuerte|pre_cvd_ok|vr_fuerte(5.4x)
BNBUSDT,06-07 12:07,1780834020000,London,Short,593.34,15,0.182,-211.0,2.29,0.002,True,2.0,2.0,2,TARGET,172.0,-249.0,0.203,0.265,0,10,15,5,2.29,-1.85,0.641,rango_limpio|pre_cvd_ok|vr_bajo(2.3x)|STACKED_CONTRA
BNBUSDT,06-07 13:50,1780840200000,LondonNyOverlap,Long,589.9,15,0.234,356.0,2.14,0.141,True,4.0,0.294,60,TIMEOUT,660.0,549.0,0.184,0.294,0,11,14,9,2.14,-3.04,0.574,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.1x)|obi_alineado|VPIN_TOXICO
BNBUSDT,06-07 15:39,1780846740000,LondonNyOverlap,Long,593.21,15,0.373,1693.0,2.04,0.035,True,2.0,-1.0,10,STOP,1827.0,957.0,-0.081,0.341,5,9,16,15,2.04,-2.04,0.155,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.0x)|obi_alineado|VPIN_TOXICO
BNBUSDT,06-07 17:22,1780852920000,NewYork,Long,597.58,20,0.407,1372.0,3.22,0.102,True,3.0,-0.115,60,TIMEOUT,1228.0,65.0,-0.112,0.291,13,11,14,5,3.22,-2.58,0.401,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.2x)|obi_alineado|VPIN_TOXICO
