num,fecha,symbol,session,range_bars,range_pct,range_cvd,pre_cvd_flip,cvd_flip_ratio,vr_at_breakout,breakout_delta,close_loc,bear_body,upper_wick,entry_price,stop_price,target_price,rr,result_r,exit_reason,bars_held,exit_price,pnl_usd,balance_after
38,2026-02-12 12:53,SOLUSDT,LondonNyOverlap,8,0.003451251078515976,4412.25,-3867.750000000002,0.8765935747067827,4.6383640818551,-35699.64,0.214,0.786,0.0,80.91,81.28,80.72,0.513513513513501,-0.378,TIME_STOP,30,81.05,-3.95,518.33
39,2026-02-12 12:54,XRPUSDT,LondonNyOverlap,8,0.003378135556673562,27317.199999999997,-69694.59999999999,2.5513083332113102,7.79756362811832,-805175.2,0.045,0.955,0.0,1.3893,1.3953,1.3859000000000001,0.5666666666666408,0.567,TARGET,12,1.3859,5.88,524.2
40,2026-02-13 13:07,XRPUSDT,LondonNyOverlap,8,0.0024182910743075483,353370.69999999995,-259951.69999999992,0.7356345616656954,4.084590612459297,-313414.9,0.171,0.829,0.0,1.3617,1.3664,1.3598,0.4042553191489261,-1.0,STOP,11,1.3664,-10.48,513.72
41,2026-02-14 08:20,BNBUSDT,London,8,0.0015533918390878663,37.290000000000106,-401.13,10.757039420756204,4.8438013950813525,-1003.7300000000002,0.331,0.586,0.083,623.66,624.83,622.89,0.6581196581196016,-1.0,STOP,3,624.83,-10.27,503.45
42,2026-02-16 11:21,BTCUSDT,London,8,0.002132115259728287,185.80900000000003,-732.806,3.9438670893229064,3.654796558668467,-98.83500000000001,0.18,0.761,0.058,68390.5,68576.2,68284.00000000001,0.5735056542810292,-1.0,STOP,6,68576.2,-10.07,493.38
43,2026-02-17 15:33,SOLUSDT,LondonNyOverlap,8,0.005281478814068082,19531.03,-8276.939999999995,0.4237841015041191,3.285768637538886,-77542.54000000001,0.146,0.792,0.063,82.93,83.51,82.62999999999998,0.5172413793103905,-1.0,STOP,12,83.51,-9.87,483.51
44,2026-02-18 11:00,SOLUSDT,London,8,0.0021372595582996035,3580.779999999999,-31854.799999999996,8.896050581158297,2.8334195698452866,-5302.110000000001,0.214,0.714,0.071,84.11,84.3,83.94000000000001,0.8947368421052081,0.895,TARGET,7,83.94,8.65,492.16
45,2026-02-18 13:42,ETHUSDT,LondonNyOverlap,8,0.004170621856886066,1247.568,-673.807,0.5400964115783669,3.3321608330836217,-3316.4979999999996,0.096,0.849,0.056,1976.26,1987.1,1970.58,0.5239852398524083,0.524,TARGET,4,1970.58,5.16,497.32
46,2026-02-18 14:17,XRPUSDT,LondonNyOverlap,8,0.004103967168262657,82262.29999999999,-265972.50000000006,3.2332246970969702,3.1853035841170323,-409117.6,0.194,0.667,0.139,1.4597,1.4672,1.4552,0.5999999999999882,0.6,TARGET,30,1.4552,5.97,503.29
47,2026-02-19 08:15,BTCUSDT,London,8,0.0013425341674945628,3.5720000000000027,-51.30100000000001,14.361982082866733,2.9102301614277435,-36.212999999999994,0.304,0.564,0.132,67003.2,67098.0,66918.0,0.8987341772151316,0.899,TARGET,11,66918.0,9.05,512.34
48,2026-02-19 08:15,SOLUSDT,London,8,0.002431906614786027,12697.689999999997,-21231.35,1.6720639738409115,3.1857901502345904,-14605.43,0.143,0.857,0.0,82.07,82.31,81.91,0.6666666666666272,0.667,TARGET,12,81.91,6.83,519.17
