num,fecha,symbol,session,direction,score,result_r,status,entry,stop,target,risk,n_pre_bars,pct_done,pre_move_r,cum_delta,last5_delta,avg_cvd,last5_cvd,avg_obi,avg_vpin,stacked_bear,stacked_bull,absorption_n,thin_above_n,expansion_n,oi_mom_n,ask_wall_n,first_bear_bar,first_neg_delta_bar,has_data
52,2026-06-09 10:56,BTCUSDT,London,Long,0,-1,STOP,62785.5,62628.53625,63068.03475,156.9638,25,39.4,1.17,246.5,322.9,3.92,35.94,-0.1222,0.2732,14,11,0,24,1,9,25,25,13,True
53,2026-06-09 10:56,SOLUSDT,London,Long,4,-1,STOP,66.4000015258789,66.2340015220642,66.6988015327454,0.166,25,57.8,2.47,53961.0,49917.9,1246.18,6090.27,-0.0833,0.3142,6,12,3,0,2,14,0,25,22,True
54,2026-06-09 11:14,BNBUSDT,London,Short,4,-1,STOP,598.919982910156,600.417282867432,595.925382995605,1.4973,25,35.5,1.1,-151.9,-102.8,-6.62,3.41,-0.0134,0.3442,13,12,1,14,4,9,13,24,25,True
55,2026-06-09 11:14,ETHUSDT,London,Short,4,-1,STOP,1667.580078125,1671.74902832031,1659.24217773437,4.169,25,49.9,2.0,673.0,-718.4,41.57,-48.18,-0.2468,0.2773,16,9,0,25,2,13,24,24,12,True
56,2026-06-09 11:58,SOLUSDT,London,Long,0,1.8,TARGET,66.1600036621094,65.9946036529541,66.4577236785889,0.1654,25,48.5,1.69,14936.9,11838.3,296.53,16.21,-0.0859,0.2417,13,6,3,0,0,10,0,25,6,True
57,2026-06-09 12:03,BTCUSDT,London,Long,3,-0.398609,TIME_STOP,62819.30078125,62662.2525292969,63101.9876347656,157.0483,25,53.9,2.1,-10.3,13.4,0.72,16.0,0.096,0.34,14,11,0,25,2,17,25,23,25,True
58,2026-06-09 12:59,SOLUSDT,London,Long,3,-0.060439,TIME_STOP,66.1699981689453,66.004573173523,66.4677631607056,0.1654,25,46.6,1.57,12702.3,16523.9,356.91,2399.71,0.0609,0.3177,9,14,3,0,11,6,0,22,18,True
59,2026-06-09 12:59,ETHUSDT,London,Long,5,-1,STOP,1675.93005371094,1671.74022857666,1683.47173895264,4.1898,25,42.0,1.31,-183.9,1588.8,-35.98,-91.19,0.2352,0.2783,17,8,2,25,2,0,19,24,24,True
60,2026-06-09 13:37,BTCUSDT,LondonNyOverlap,Short,4,-1,STOP,62150.99609375,62306.3735839844,61840.2411132812,155.3775,25,60.3,3.04,-845.0,-172.5,-24.7,40.12,0.0325,0.3057,20,5,3,24,16,4,25,25,18,True
61,2026-06-09 14:04,BNBUSDT,LondonNyOverlap,Short,0,0.801879,TRAILING_STOP,594.320007324219,595.805807342529,591.348407287598,1.4858,25,48.6,1.89,241.3,-492.4,22.8,-83.66,-0.0621,0.3094,12,13,6,18,0,1,12,25,14,True
62,2026-06-09 15:55,BTCUSDT,LondonNyOverlap,Short,4,-2.42,SESSION_END,61119.296875,61272.0951171875,60813.700390625,152.7982,25,47.8,1.83,59.2,26.4,-1.63,16.61,0.0089,0.2022,17,8,1,25,7,11,25,24,24,True
63,2026-06-09 16:19,SOLUSDT,LondonNyOverlap,Short,4,-2.26,SESSION_END,63.8000030517578,63.9595030593872,63.481003036499,0.1595,25,69.3,4.51,-183751.0,5111.7,-7249.23,424.71,-0.073,0.2518,15,10,1,1,6,0,1,25,24,True
64,2026-06-09 20:42,XRPUSDT,NewYork,Long,4,-1,STOP,1.14300000667572,1.14014250665903,1.14814350670576,0.0029,25,47.7,1.64,-23964.1,49185.4,-2178.77,1731.06,-0.0007,0.3076,7,15,0,0,2,0,0,25,25,True
65,2026-06-09 21:18,ETHUSDT,NewYork,Short,5,1.32249483737092,SESSION_END,1654.43994140625,1658.57604125977,1646.16774169922,4.1361,25,43.9,1.56,-6155.4,-2288.0,-230.82,-355.79,-0.1924,0.3755,15,10,3,25,1,4,25,25,18,True
66,2026-06-09 21:19,SOLUSDT,NewYork,Short,4,2.00000000000009,TARGET,65.2600021362305,65.423152141571,64.9337021255493,0.1632,25,53.1,2.27,-4385.3,-15045.0,150.67,-776.31,0.0249,0.4174,9,10,3,0,0,0,0,24,17,True
67,2026-06-09 21:19,BTCUSDT,NewYork,Short,5,1.24974368913943,SESSION_END,61932.69921875,62087.5309667969,61623.0357226562,154.8317,25,41.2,1.4,-768.4,-284.2,-24.06,-54.09,0.0404,0.3925,15,10,2,25,0,0,25,24,19,True
68,2026-06-10 08:03,SOLUSDT,London,Short,0,-1,STOP,64.1600036621094,64.2435776846749,63.9928556169782,0.0836,25,77.6,6.94,-89833.6,-40590.1,-3292.84,-7598.71,0.0434,0.3748,18,3,5,0,0,5,0,25,15,True
69,2026-06-10 09:19,BNBUSDT,London,Short,5,1,TRAILING_STOP,582.900024414062,583.548588344029,581.602896554129,0.6486,25,68.7,4.39,-712.8,-130.7,-3.38,-134.29,-0.0886,0.2737,15,10,4,15,1,3,11,25,11,True
70,2026-06-10 09:19,BTCUSDT,London,Short,5,1,TRAILING_STOP,61001.203125,61064.4383370536,60874.7327008929,63.2352,25,69.4,4.54,-291.3,-262.1,-14.14,-59.58,0.1354,0.269,21,4,1,24,2,1,25,25,17,True
71,2026-06-10 11:25,BNBUSDT,London,Short,4,-1,STOP,581.400024414062,582.240735735212,579.718601771763,0.8407,25,70.1,4.69,-836.7,-116.5,-24.8,23.97,0.1087,0.279,13,12,5,18,0,13,8,25,22,True
72,2026-06-10 15:48,BNBUSDT,LondonNyOverlap,Short,3,-1,STOP,594.100036621094,595.065032958984,592.170043945312,0.965,25,66.9,4.04,-510.9,245.1,-12.98,28.82,0.0544,0.286,16,9,1,20,16,17,14,25,10,True
